02-05-21:31:00.9020 6744 SceneServer::CSSCfgMgr::LoadMapStaticData:970 Add 1000 MapStaticData
02-05-21:31:00.9100 6744 SceneServer::CSSCfgMgr::LoadMapStaticData:970 Add 1001 MapStaticData
02-05-21:31:00.9180 6744 SceneServer::CSSCfgMgr::LoadMapStaticData:970 Add 1002 MapStaticData
02-05-21:31:00.9410 6744 SceneServer::CSSCfgMgr::LoadMapStaticData:970 Add 1003 MapStaticData
02-05-21:31:13.4087 6744 CSSLogSession::SendInitData:28  LogServer Connected, try to register me.
02-05-21:31:13.4307 6744 CCentralSession::SendInitData:30 CS Connected, try to register me.
02-05-21:31:13.4337 6744 CCentralSession::Msg_Handle_Init:90 GSKernel Start success, Got 10 GSInfo and 8 GS defined, Milsec error 2737.
02-05-21:31:13.4387 6744 CCentralSession::OnRealEstablish:41 CS Connected and register ok, try to ask global config.
02-05-21:31:13.4437 6744 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifyGameSwitchCfg:1359 --set this ss gamelog switch .....ok!--
02-05-21:31:13.4487 6744 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifyNPCCfgList:1035 Load 52 Cfgs.
02-05-21:31:13.4507 6744 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifyHeroCfgList:1049 Load 22 Cfgs.
02-05-21:31:13.4537 6744 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifyShopCfgList:1077 Load 3 Cfgs.
02-05-21:31:13.4567 6744 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifyGoodsCfgList:1063 Load 103 Cfgs.
02-05-21:31:13.4587 6744 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifyRobotAICfgList:1091 Load 609 Cfgs.
02-05-21:31:13.4617 6744 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifyRobotAIPathCfgList:1105 Load 197 Cfgs.
02-05-21:31:13.4647 6744 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifyNewSkillCfgList:1119 Load 268 Cfgs.
02-05-21:31:13.4667 6744 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifySkillModelAccountCfgCfgList:1133 Load 322 Cfgs.
02-05-21:31:13.4687 6744 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifySkillModelEmitCfgList:1147 Load 96 Cfgs.
02-05-21:31:13.4697 6744 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifySkillModelRangeCfgList:1161 Load 123 Cfgs.
02-05-21:31:13.4717 6744 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifySkillModelLeadingCfgList:1175 Load 17 Cfgs.
02-05-21:31:13.4737 6744 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifySkillModelBufCfgList:1189 Load 302 Cfgs.
02-05-21:31:13.4757 6744 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifySkillModelSummonCfgList:1203 Load 5 Cfgs.
02-05-21:31:13.4767 6744 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifySkillModelMoveCfgList:1217 Load 26 Cfgs.
02-05-21:31:13.4787 6744 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifySkillModelSwitchCfgList:1232 Load 1 Cfgs.
02-05-21:31:13.4807 6744 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifySkillModelPurificationCfgList:1247 Load 1 Cfgs.
02-05-21:31:13.4827 6744 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifySkillModelLinkCfgList:1262 Load 1 Cfgs.
02-05-21:31:13.4837 6744 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifyPassitiveSkillCfgList:1276 Load 126 Cfgs.
02-05-21:31:13.4857 6744 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifyPassitiveEffectBloodSeekCfgList:1290 Load 6 Cfgs.
02-05-21:31:13.4877 6744 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifyPassitiveEffectReboundCfgList:1304 Load 4 Cfgs.
02-05-21:31:13.4897 6744 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifyPassitiveEffectReliveCfgList:1319 Load 1 Cfgs.
02-05-21:31:13.8257 6744 SceneServer::CSSWorkThreadMgr::OnMsgFromGS_GSAskRegiste:224 GS 30001 registed at net session 3.
02-05-21:31:13.8287 6744 CGateSession::OnRealEstablish:39 GS(30001) Connected.
02-05-21:48:13.7901 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:48:14.8901 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:48:15.9902 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:48:17.0902 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20017
02-05-21:48:47.0930 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20020
02-05-21:48:48.1920 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:48:49.2921 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:48:50.3922 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:48:51.4922 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20017
02-05-21:49:21.5919 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:49:22.5930 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:49:23.6921 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:49:24.7921 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20017
02-05-21:49:54.8928 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:49:55.9929 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:49:57.0930 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:49:58.1920 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20017
02-05-21:50:28.1937 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:50:29.1938 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:50:30.2949 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:50:31.3949 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20017
02-05-21:51:01.4416 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20020
02-05-21:51:02.5417 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:51:03.6428 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:51:04.7418 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:51:05.8419 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20017
02-05-21:51:35.9426 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:51:37.0417 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:51:38.0417 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:51:39.1428 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20017
02-05-21:52:09.1485 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:52:10.2496 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:52:11.3496 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:52:12.4497 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20017
02-05-21:52:42.4494 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:52:43.4495 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:52:44.4505 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:52:45.5496 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20017
02-05-21:53:15.6503 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20020
02-05-21:53:16.7494 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:53:17.8494 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:53:18.9505 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:53:20.0506 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20017
02-05-21:53:50.0513 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
