06-11-14:12:02.4915 60960 SceneServer::CSSCfgMgr::LoadMapStaticData:970 Add 1000 MapStaticData
06-11-14:12:02.4985 60960 SceneServer::CSSCfgMgr::LoadMapStaticData:970 Add 1001 MapStaticData
06-11-14:12:02.5045 60960 SceneServer::CSSCfgMgr::LoadMapStaticData:970 Add 1002 MapStaticData
06-11-14:12:02.5235 60960 SceneServer::CSSCfgMgr::LoadMapStaticData:970 Add 1003 MapStaticData
06-11-14:12:02.6606 60960 CCentralSession::SendInitData:30 CS Connected, try to register me.
06-11-14:12:02.6636 60960 CCentralSession::Msg_Handle_Init:90 GSKernel Start success, Got 10 GSInfo and 6 GS defined, Milsec error 2372.
06-11-14:12:02.6806 60960 CCentralSession::OnRealEstablish:41 CS Connected and register ok, try to ask global config.
06-11-14:12:02.6976 60960 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifyGameSwitchCfg:1359 --set this ss gamelog switch .....ok!--
06-11-14:12:02.7096 60960 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifyNPCCfgList:1035 Load 52 Cfgs.
06-11-14:12:02.7096 60960 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifyHeroCfgList:1049 Load 22 Cfgs.
06-11-14:12:02.7106 60960 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifyShopCfgList:1077 Load 3 Cfgs.
06-11-14:12:02.7116 60960 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifyGoodsCfgList:1063 Load 103 Cfgs.
06-11-14:12:02.7126 60960 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifyRobotAICfgList:1091 Load 609 Cfgs.
06-11-14:12:02.7136 60960 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifyRobotAIPathCfgList:1105 Load 197 Cfgs.
06-11-14:12:02.7146 60960 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifyNewSkillCfgList:1119 Load 268 Cfgs.
06-11-14:12:02.7156 60960 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifySkillModelAccountCfgCfgList:1133 Load 322 Cfgs.
06-11-14:12:02.7166 60960 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifySkillModelEmitCfgList:1147 Load 96 Cfgs.
06-11-14:12:02.7166 60960 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifySkillModelRangeCfgList:1161 Load 123 Cfgs.
06-11-14:12:02.7176 60960 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifySkillModelLeadingCfgList:1175 Load 17 Cfgs.
06-11-14:12:02.7186 60960 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifySkillModelBufCfgList:1189 Load 302 Cfgs.
06-11-14:12:02.7196 60960 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifySkillModelSummonCfgList:1203 Load 5 Cfgs.
06-11-14:12:02.7206 60960 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifySkillModelMoveCfgList:1217 Load 26 Cfgs.
06-11-14:12:02.7216 60960 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifySkillModelSwitchCfgList:1232 Load 1 Cfgs.
06-11-14:12:02.7226 60960 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifySkillModelPurificationCfgList:1247 Load 1 Cfgs.
06-11-14:12:02.7236 60960 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifySkillModelLinkCfgList:1262 Load 1 Cfgs.
06-11-14:12:02.7246 60960 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifyPassitiveSkillCfgList:1276 Load 126 Cfgs.
06-11-14:12:02.7256 60960 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifyPassitiveEffectBloodSeekCfgList:1290 Load 6 Cfgs.
06-11-14:12:02.7266 60960 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifyPassitiveEffectReboundCfgList:1304 Load 4 Cfgs.
06-11-14:12:02.7306 60960 SceneServer::CSSCfgMgr::OnMsgFromCS_NotifyPassitiveEffectReliveCfgList:1319 Load 1 Cfgs.
06-11-14:12:04.9642 60960 SceneServer::CSSWorkThreadMgr::OnMsgFromGS_GSAskRegiste:224 GS 30001 registed at net session 3.
06-11-14:12:04.9652 60960 CGateSession::OnRealEstablish:39 GS(30001) Connected.
06-11-14:12:13.6584 60960 CSSLogSession::SendInitData:28  LogServer Connected, try to register me.
06-11-14:27:07.1913 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:27:08.2140 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:27:09.2227 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20019
06-11-14:27:39.2393 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:27:40.2546 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:27:41.2914 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:27:42.3231 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20019
06-11-14:28:12.3674 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20021
06-11-14:28:13.3851 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:28:14.4869 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:28:15.4906 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:28:16.5553 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20019
06-11-14:28:46.6343 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:28:47.7351 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:28:48.7577 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:28:49.8203 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20019
06-11-14:29:19.9159 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:29:20.9434 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:29:21.9884 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:29:23.0286 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20019
06-11-14:29:53.1035 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:29:54.2033 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:29:55.2132 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:29:56.3140 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20019
06-11-14:30:26.3334 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20021
06-11-14:30:27.4332 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:30:28.5374 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:30:29.6360 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:30:30.6374 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20019
06-11-14:31:00.6620 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:31:01.7618 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:31:02.8637 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:31:03.9616 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20019
06-11-14:31:33.9909 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:31:34.9910 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:31:35.9911 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:31:36.9912 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20019
06-11-14:32:07.0497 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:32:08.0423 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:32:09.0419 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20018
06-11-14:32:10.0425 61872 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20019
06-11-17:35:43.2355 60960 CCentralSession::OnClose:47 CS DisConnect.
